description,price,rating,review_count,url
"Dell Inspiron 17 3000 17.3"" Full HD Laptop Computer, 4-Core Intel Core i7-1065G7 1.30GHz, 8GB RAM, 512GB SSD, No DVD,Webcam,HDMI, Win 10, TMLTT Mousepad (16GB - 512GB SSD)",,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0783390QX78S7NRNFVA&url=%2FDell-Inspiron-17-3000-i7-1065G7%2Fdp%2FB08PF8WC4N%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1607397161%26sr%3D8-1-spons%26psc%3D1&qualifier=1607397160&id=3545048194849950&widgetName=sp_atf
"Dell Inspiron 15.6"" HD Laptop, Intel Core i3-1005G1 Processor, 16GB DDR4 Memory, 256GB PCIe Solid State Drive, WiFi, Webcam, Online Class Ready, HDMI, Bluetooth, KKE Mousepad, Win10 Home, Black",,,73,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08509431FMG3N7NSLZN4&url=%2FDell-Inspiron-i3-1005G1-Processor-Bluetooth%2Fdp%2FB08DDJJJW7%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1607397161%26sr%3D8-2-spons%26psc%3D1&qualifier=1607397160&id=3545048194849950&widgetName=sp_atf
"2020 Newest Dell Inspiron 15.6"" HD Business Laptop Intel 4205U, 12GB RAM, 256GB PCIe SSD + 1TB HDD Wireless AC, Bluetooth, Win10 Pro 32GB PCS USB Card",,,55,https://www.amazon.com/Dell-Inspiron-Business-Wireless-Bluetooth/dp/B08DTSBBF2/ref=sr_1_3?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-3
"Dell Inspiron 15.6"" HD Laptop, Intel 4205U Processor, 8GB DDR4 Memory, 128GB PCIe Solid State Drive, Online Class Ready, Webcam, WiFi, HDMI, Bluetooth, KKE Mousepad, Win10 Home, Black",,,80,https://www.amazon.com/Dell-Inspiron-Processor-Bluetooth-Mousepad/dp/B08HY97NV4/ref=sr_1_4?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-4
"Latest_Dell Inspiron 15 3000 15.6"" HD Anti-Glare LED-Backlit Display, Intel Celeron Processor 4205U Processor, 4GB RAM, 128GB SSD, WiFi, Bluetooth 4.1, HDMI, Webcam, Windows 10, BDQPOWER Mouse Pad",,,4,https://www.amazon.com/Latest_Dell-Anti-Glare-LED-Backlit-Processor-Bluetooth/dp/B08JPMXCZ5/ref=sr_1_5?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-5
"Dell Inspiron 15.6"" HD Laptop, Intel 4205U Processor, 12GB DDR4 Memory, 1TB HDD, Online Class Ready, Webcam, WiFi, HDMI, Bluetooth, KKE Mousepad, Win10 Home, Black",,,435,https://www.amazon.com/Dell-Inspiron-Processor-Bluetooth-Mousepad/dp/B08HY7ZG36/ref=sr_1_6?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-6
"Dell Inspiron 15.6"" HD Laptop, Intel 4205U Processor, 8GB DDR4 Memory, 1TB HDD, Online Class Ready, Webcam, WiFi, HDMI, Bluetooth, KKE Mousepad, Win10 Home, Black",,,80,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05756035NQQD4LNM95U&url=%2FDell-Inspiron-Processor-Bluetooth-Mousepad%2Fdp%2FB08HY7KWJ6%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1607397161%26sr%3D8-7-spons%26psc%3D1&qualifier=1607397160&id=3545048194849950&widgetName=sp_mtf
"2021 Newest DELL inspiron 15 3000 PC Laptop, 15.6"" HD Anti-Glare Non-Touch Display, Intel 2-Core 4205U Processor, 8GB RAM, 128GB PCIe NVMe SSD, WiFi, Webcam, HDMI, Bluetooth, Win 10 S + Oydisen Cloth",,,,https://www.amazon.com/inspiron-Anti-Glare-Non-Touch-Processor-Bluetooth/dp/B08P5ZWCY3/ref=sr_1_8?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-8
"Dell Inspiron 3000 Series 15.6"" HD Notebook - Intel Celeron 4205U 1.8GHz - 4GB RAM 128GB PCIe SSD - Webcam - Windows 10 Home in S Mode, Black",,,,https://www.amazon.com/Dell-Inspiron-3000-15-6-Notebook/dp/B08MRH5RW3/ref=sr_1_9?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-9
"2020 Newest Dell Inspiron 15 3000 PC Laptop: 15.6"" HD Anti-Glare LED-Backlit Nontouch Display, Intel 2-Core 4205U Processor, 4GB RAM, 1TB HDD, WiFi, Bluetooth, HDMI, Webcam,DVD-RW, Win 10",,,528,https://www.amazon.com/2020-Newest-Dell-Inspiron-Laptop/dp/B087BGGPSH/ref=sr_1_10?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-10
"Dell Inspiron 15.6"" HD Laptop, Intel Core i3-1005G1 Processor, 16GB DDR4 Memory, 256GB PCIe Solid State Drive, WiFi, Webcam, Online Class Ready, HDMI, Bluetooth, KKE Mousepad, Win10 Home, Black",,,73,https://www.amazon.com/Dell-Inspiron-i3-1005G1-Processor-Bluetooth/dp/B08DDJJJW7/ref=sr_1_11?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-11
"LG Gram Laptop - 15.6"" Full HD IPS, Intel 10th Gen Core i5 (10210U CPU), 8GB DDR4 2666MHz RAM, 512GB NVMeTM SSD, Up to 21 Hours Battery, Intel UHD Graphics - 15Z995-U.ARS6U1 (2020)",,,71,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A038331622L0SNID3ZRO6&url=%2FLG-Gram-Laptop-Graphics-15Z995-U-ARS6U1%2Fdp%2FB086Z2FTLR%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1607397161%26sr%3D8-12-spons%26psc%3D1&qualifier=1607397160&id=3545048194849950&widgetName=sp_mtf
"2020 Dell Inspiron 3000 15.6-inch HD Touchscreen Laptop PC, Intel 10th Gen Dual Core i3-1005G1 Processor, 8GB DDR4, 128GB SSD, 1TB HDD, Bluetooth, Windows 10, Black",,,568,https://www.amazon.com/Dell-3000-15-6-inch-Touchscreen-i3-1005G1/dp/B088K23635/ref=sr_1_13?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-13
"Dell Inspiron 15.6"" HD Business Laptop, Intel 4205U, 16GB Memory, 256GB PCIe Solid State Drive + 1TB HDD, Webcam, WiFi, KKE Mousepad, Bluetooth, Win10 Pro, Black",,,184,https://www.amazon.com/Dell-Inspiron-Business-Mousepad-Bluetooth/dp/B089S9VG1V/ref=sr_1_14?dchild=1&keywords=dell+laptop&qid=1607397161&sr=8-14
