Description,Price,Rating,ReviewCount,Url
"LG 38WN75C-B 38-Inch Class 21:9 Curved UltraWide QHD+ (3840 x 1600) IPS Display with HDR 10 and Tilt/Height Adjustable Stand, Black",$896.99,4.5 out of 5 stars,25,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09099882OPAGBPKXWX06&url=%2FLG-38WN75C-B-38-Inch-Class-Adjustable%2Fdp%2FB087YZG5YS%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1599080024%26sr%3D8-12-spons%26psc%3D1&qualifier=1599080024&id=8275431984469844&widgetName=sp_mtf
"Acer Nitro XV340CK Pbmiipphzx 34"" QHD (3440 x 1440) IPS Gaming Monitor with AMD Radeon FREESYNC, 144Hz, 1ms VRB, HDR10 Technology, (2 x Display Ports, 2 x HDMI 2.0 & 2 x USB 3.0 Ports), Black",$449.99,4.5 out of 5 stars,25,https://www.amazon.com/Acer-XV340CK-Pbmiipphzx-FREESYNC-Technology/dp/B08BG4GWRL/ref=sr_1_13?dchild=1&keywords=ultrawide+monitor&qid=1599080024&sr=8-13
MSI Full HD Non-Glare 1ms 2560 x 1080 Ultra Wide 200Hz Refresh Rate HDR Ready USB/DP/HDMI Smart Headset Hanger FreeSync 30”Gaming Curved Monitor (Optix MAG301CR) - Black,$334.99,4.0 out of 5 stars,47,https://www.amazon.com/MSI-Non-Glare-FreeSync-Optix-MAG301CR/dp/B087M7CRVC/ref=sr_1_14?dchild=1&keywords=ultrawide+monitor&qid=1599080024&sr=8-14
"Viotek GN34CW 34-Inch 21:9 Ultrawide Curved Gaming and Professional Computer Monitor, 100Hz 1440p, FreeSync FTS/RTS VESA (White)",$359.99,4.3 out of 5 stars,"1,129",https://www.amazon.com/Viotek-GN34CW-34-Inch-Ultrawide-Professional/dp/B07HZ499J4/ref=sr_1_15?dchild=1&keywords=ultrawide+monitor&qid=1599080024&sr=8-15
"Mounting Dream Full Motion TV Wall Mounts TV Bracket with Articulating Arms for Most 17-39 Inches LED, LCD TV, TV Mount up to VESA 200x200mm and 33 lbs, Monitor Mount with Tilt and Swivel MD2462",$21.99,4.7 out of 5 stars,"3,240",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03834002R5EQVXBFNOQT&url=%2FMounting-Dream-Articulating-200x200mm-MD2462%2Fdp%2FB06XDL6YLQ%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1599080024%26sr%3D8-17-spons%26psc%3D1&qualifier=1599080024&id=8275431984469844&widgetName=sp_mtf
LG Full HD IPS UltraWide Monitor,$149.99,4.3 out of 5 stars,"2,075",https://www.amazon.com/LG-25UM58-P-25-Inch-21-UltraWide/dp/B01BV1XB2K/ref=sr_1_18?dchild=1&keywords=ultrawide+monitor&qid=1599080024&sr=8-18
"Samsung Business CH890 Series 34 inch WQHD 3440x1440 Ultrawide Curved Desktop Monitor for Business, 100 Hz, USB-C, HDMI, DP, 3 Year Warranty (LC34H890WGNXGO), Black/Titanium",$626.74,4.0 out of 5 stars,23,https://www.amazon.com/Samsung-Business-3440x1440-Ultrawide-LC34H890WGNXGO/dp/B08623SZH9/ref=sr_1_19?dchild=1&keywords=ultrawide+monitor&qid=1599080024&sr=8-19
"LG 34WN650-W 34-Inch 21:9 UltraWide Full HD (2560 x 1080) IPS Display with VESA DisplayHDR 400 and AMD FreeSync, Silver",$398.53,4.4 out of 5 stars,8,https://www.amazon.com/LG-34WN650-W-34-Inch-UltraWide-DisplayHDR/dp/B087JB656Q/ref=sr_1_20?dchild=1&keywords=ultrawide+monitor&qid=1599080024&sr=8-20
LG 34GN850-B 34 Inch 21: 9 UltraGear Curved QHD (3440 x 1440) 1ms Nano IPS Gaming Monitor with 144Hz and G-SYNC Compatibility - Black (34GN850-B),$999.99,4.7 out of 5 stars,"2,303",https://www.amazon.com/LG-34GN850-B-Inch-UltraGear-Compatibility/dp/B086XLLG28/ref=sr_1_21?dchild=1&keywords=ultrawide+monitor&qid=1599080024&sr=8-21
"VIOTEK NB32CB 32-inch LED Curved Professional Monitor, Bezel-Less Samsung VA Panel, 75Hz 1080P Full-HD FreeSync VGA HDMI VESA, Updated Version (Black)",$189.99,4.4 out of 5 stars,212,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0700845T6C8WPMCDACM&url=%2FNB32CB-32-Inch-Professional-Bezel-Less-FreeSync%2Fdp%2FB07G6Q5TWX%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1599080024%26sr%3D8-22-spons%26psc%3D1&qualifier=1599080024&id=8275431984469844&widgetName=sp_btf
